,time,temperature [°C],relative humidity [%],dew point [°C],apparent temperature [°C],wind speed [km/h],wind direction [°]
0,2024-06-02T00:00,18.2,67,12,17.4,10.2,157
1,2024-06-02T01:00,16.4,78,12.6,15.8,9.7,165
2,2024-06-02T02:00,16.3,77,12.4,16.2,6.4,133
3,2024-06-02T03:00,16.6,75,12,16.6,3.9,146
4,2024-06-02T04:00,16.9,72,11.7,17,2.6,146
5,2024-06-02T05:00,16.1,75,11.8,16.1,4,185
6,2024-06-02T06:00,17,69,11.3,16.9,3.3,193
7,2024-06-02T07:00,19,60,11.1,18.9,2.9,150
8,2024-06-02T08:00,21.1,53,11.1,20.6,5.5,157
9,2024-06-02T09:00,23.3,47,11.3,22.8,7.9,156
10,2024-06-02T10:00,25,42,11.3,25.1,10.3,168
11,2024-06-02T11:00,26.6,38,11.1,27.2,10.8,176
12,2024-06-02T12:00,27.5,37,11.4,28.2,12.7,172
13,2024-06-02T13:00,27.4,36,11.1,27.1,14.9,173
14,2024-06-02T14:00,27.8,36,11.3,27.9,11.2,174
15,2024-06-02T15:00,28.1,35,11.1,28.1,9.1,171
16,2024-06-02T16:00,28.2,35,11.3,27.3,10,167
17,2024-06-02T17:00,27.4,37,11.6,26.1,12,164
18,2024-06-02T18:00,24.8,44,11.6,22,22.8,162
19,2024-06-02T19:00,22.8,49,11.5,20.6,18.5,167
20,2024-06-02T20:00,21.2,54,11.6,19.7,13.7,185
21,2024-06-02T21:00,20,57,11.3,19,9.7,184
22,2024-06-02T22:00,19.2,59,11.1,18.5,7.3,171
23,2024-06-02T23:00,18.6,61,11,17.9,7,145
24,2024-06-03T00:00,18,63,10.8,17.4,6.1,140
25,2024-06-03T01:00,16.5,71,11.2,15.4,9.8,163
26,2024-06-03T02:00,16.3,72,11.2,16.2,2.9,120
27,2024-06-03T03:00,15.8,74,11.2,15.7,3.2,90
28,2024-06-03T04:00,15.5,75,11.1,15.5,2.5,90
29,2024-06-03T05:00,15.2,75,10.9,15,3.4,72
30,2024-06-03T06:00,16.4,69,10.7,16.2,3.1,54
31,2024-06-03T07:00,18.6,61,10.8,18.2,4.3,5
32,2024-06-03T08:00,20.9,52,10.7,20.5,4.3,5
33,2024-06-03T09:00,23.3,44,10.2,23.5,1.3,34
34,2024-06-03T10:00,25.9,34,8.8,26.7,2,135
35,2024-06-03T11:00,27.8,28,7.6,28.5,5.2,164
36,2024-06-03T12:00,29.1,25,7.1,28.9,11.2,174
37,2024-06-03T13:00,29.4,25,7.4,28.9,13.3,183
38,2024-06-03T14:00,29.1,27,7.9,27.9,16.6,184
39,2024-06-03T15:00,28.8,27,8.1,27.4,15.7,171
40,2024-06-03T16:00,28.1,29,8.4,25.9,15.4,159
41,2024-06-03T17:00,27,31,8.7,23.9,19,161
42,2024-06-03T18:00,24.8,39,9.8,21.8,20.6,161
43,2024-06-03T19:00,23,44,10,20.5,16.8,170
44,2024-06-03T20:00,21,48,9.6,18.8,14.6,171
45,2024-06-03T21:00,20,51,9.5,18.4,10,159
46,2024-06-03T22:00,19.4,53,9.5,18.3,7,145
47,2024-06-03T23:00,18.8,55,9.5,17.9,5.6,130
48,2024-06-04T00:00,18.2,56,9.4,17.4,4,117
49,2024-06-04T01:00,17.1,57,8.5,15.9,5.1,135
50,2024-06-04T02:00,16.6,60,8.7,16,2.3,108
51,2024-06-04T03:00,16.2,67,10,16,1.3,124
52,2024-06-04T04:00,16,68,10.2,15.7,2.4,153
53,2024-06-04T05:00,16.8,57,8.3,16,2.6,106
54,2024-06-04T06:00,17.1,59,9,16.7,1.4,360
55,2024-06-04T07:00,18.6,53,8.7,17.9,2.2,270
56,2024-06-04T08:00,20.7,46,8.8,20.1,1.8,307
57,2024-06-04T09:00,23.3,40,8.9,23.2,1.6,333
58,2024-06-04T10:00,25.8,32,8,26.3,3.3,347
59,2024-06-04T11:00,27.8,27,7,28.8,3.4,342
60,2024-06-04T12:00,29.1,24,6.5,30.6,2.5,360
61,2024-06-04T13:00,30,22,5.7,30.6,4.5,151
62,2024-06-04T14:00,30.4,22,6,29.6,10.5,158
63,2024-06-04T15:00,30.4,21,5.6,28.1,15.3,161
64,2024-06-04T16:00,30.3,21,5.3,26.9,17.9,171
65,2024-06-04T17:00,28.9,22,5.2,25.5,15.5,185
66,2024-06-04T18:00,28.3,24,6.1,26.1,8.6,202
67,2024-06-04T19:00,26.8,27,6.4,24.8,7.6,185
68,2024-06-04T20:00,24.1,33,6.7,22.3,6.7,164
69,2024-06-04T21:00,22.1,37,6.6,19.7,10.6,145
70,2024-06-04T22:00,20.7,39,6.3,18.3,10.2,132
71,2024-06-04T23:00,19.7,41,6,17.4,9,127
72,2024-06-05T00:00,18.8,43,6,16.8,6.6,131
73,2024-06-05T01:00,17.5,49,6.8,16,5.1,129
74,2024-06-05T02:00,17.2,50,6.6,15.5,5.9,137
75,2024-06-05T03:00,17.1,49,6.3,15.4,5.2,124
76,2024-06-05T04:00,16.6,51,6.4,15.2,3.4,108
77,2024-06-05T05:00,15.7,56,6.8,14.4,3.1,111
78,2024-06-05T06:00,17.5,50,6.9,16.3,3.1,111
79,2024-06-05T07:00,20.9,43,7.7,19.8,3.9,34
80,2024-06-05T08:00,24,33,6.8,22.4,5.4,4
81,2024-06-05T09:00,26.6,28,6.5,25.6,3.8,17
82,2024-06-05T10:00,29.1,23,5.8,29.3,2.2,99
83,2024-06-05T11:00,31,18,4,31,5.5,157
84,2024-06-05T12:00,32.2,17,3.7,32,8.9,166
85,2024-06-05T13:00,32.8,16,3.7,31.8,13,178
86,2024-06-05T14:00,32.9,15,2.9,30.9,17,175
87,2024-06-05T15:00,32.9,14,1.6,30,17.7,175
88,2024-06-05T16:00,32.4,14,1.1,28.6,18.1,173
89,2024-06-05T17:00,31.8,15,1.5,27.6,15.5,177
90,2024-06-05T18:00,30.4,18,3,26.8,13.8,174
91,2024-06-05T19:00,28.1,25,6,25.2,13,174
92,2024-06-05T20:00,25.4,34,8.2,23.4,10.9,172
93,2024-06-05T21:00,23.5,38,8.5,22,7.8,146
94,2024-06-05T22:00,21.8,42,8.3,20.7,4.8,103
95,2024-06-05T23:00,20,46,8.2,18.6,6.5,84
96,2024-06-06T00:00,19,47,7.5,17.4,6.8,93
97,2024-06-06T01:00,19.5,43,6.7,17.7,6.8,93
98,2024-06-06T02:00,19,43,6,17.4,3.9,68
99,2024-06-06T03:00,18.3,42,5.2,16.5,4.5,76
100,2024-06-06T04:00,18,39,3.8,15.8,5.1,82
101,2024-06-06T05:00,17.7,38,3.3,15.7,2.7,67
102,2024-06-06T06:00,19.9,33,3.4,17.7,5.1,86
103,2024-06-06T07:00,23.9,30,5.1,22.2,3.6,53
104,2024-06-06T08:00,27.9,24,5.4,25.9,5.9,322
105,2024-06-06T09:00,31.6,19,5.5,29.5,6.9,133
106,2024-06-06T10:00,33.9,16,4.4,29.4,24.3,151
107,2024-06-06T11:00,34.5,16,5.1,30.1,29,143
108,2024-06-06T12:00,34.9,16,5.4,30.6,28.7,153
109,2024-06-06T13:00,35.5,14,4.3,30.9,24.5,150
110,2024-06-06T14:00,35.9,14,4.3,31.8,18.3,165
111,2024-06-06T15:00,36.5,13,3.6,32.4,24.4,167
112,2024-06-06T16:00,36.4,11,1.4,32.6,15.8,156
113,2024-06-06T17:00,36.1,11,0.8,32.6,10.1,178
114,2024-06-06T18:00,34.7,14,3.1,32.1,6.8,177
115,2024-06-06T19:00,32.8,17,4.9,30.3,8.7,156
116,2024-06-06T20:00,29,26,7.5,26.8,11,148
117,2024-06-06T21:00,26.6,30,7.7,25.4,4,95
118,2024-06-06T22:00,24.8,33,7.3,23.5,4.1,75
119,2024-06-06T23:00,23.4,34,6.9,22.2,3.3,96
120,2024-06-07T00:00,22.8,37,7.5,21.8,2.3,108
121,2024-06-07T01:00,21.8,42,8.2,21.1,1.5,104
122,2024-06-07T02:00,22.4,35,6.2,20.9,3.9,292
123,2024-06-07T03:00,20.8,38,6.1,19,5.8,210
124,2024-06-07T04:00,20.4,39,6.1,18.6,5.7,198
