f.1,f.2,f.3,f.4
1.5342,2.0095,2.3548,5.6492
1.9949,2.6304,2.996,7.1697
2.161,2.9352,3.3134,7.5501
2.0293,2.5117,2.7956,6.4915
2.0731,2.7391,3.1065,6.7665
2.378,3.0298,3.2712,7.6388
1.9683,2.4286,2.659,6.1285
1.7355,2.3821,3.0371,7.2372
1.824,2.5886,3.1042,6.8063
1.6995,2.1306,2.421,5.5482
1.8219,2.3404,2.5372,5.972
2.6414,3.3709,3.6831,8.5464
2.0408,2.5527,2.8407,6.4054
2.475,3.093,3.4697,7.7201
1.9253,2.7229,3.5774,8.0093
1.9381,2.4879,2.7576,6.7691
1.9167,2.6124,2.9364,6.6
2.3108,3.0934,3.4452,7.7913
1.7974,2.2317,2.5109,5.6327
2.1984,2.744,3.109,6.8585
2.0287,2.6624,2.9252,6.5837
1.5641,2.0544,2.4345,5.8349
2.1877,2.949,3.4016,7.7998
2.5597,3.437,3.8889,8.8772
2.0393,2.6847,3.0698,6.6622
2.3502,2.9846,3.2101,7.5677
2.3989,3.1531,3.4627,7.8204
1.9336,2.2772,2.5135,5.8452
1.6966,2.3035,2.7909,6.3518
2.0737,2.8134,3.2721,7.4611
1.7327,2.1602,2.328,5.621
2.092,2.6276,2.857,6.7563
1.9101,2.5953,2.9135,6.3578
2.3083,2.8528,3.1959,7.1697
2.4038,3.1233,3.5462,7.6619
2.1264,2.9294,3.4727,8.4107
1.7145,2.1856,2.432,5.6933
2.1257,2.7353,3.0366,7.0416
2.2531,2.9876,3.3555,7.4446
2.0778,2.5305,2.8611,6.4206
1.9316,2.5101,2.7507,6.2322
2.3179,2.9598,3.2642,7.3641
1.6488,2.1935,2.5751,5.9541
1.9972,2.6657,3.0471,7.0134
2.4239,3.3691,3.8632,8.354
2.061,2.4966,2.7018,6.4475
2.2739,2.8719,3.1664,7.2169
2.6388,3.3162,3.6921,8.2898
1.9126,2.4439,2.7734,6.0363
1.7229,2.4019,3.2264,7.2877
1.9117,2.6424,3.0462,7.1982
1.9204,2.4554,2.6943,6.481
1.9518,2.6222,2.926,6.5758
2.3095,3.0473,3.3985,7.6166
1.7222,2.0958,2.3692,5.305
2.4519,2.9716,3.2008,7.576
1.8123,2.5453,3.2264,7.3788
1.8824,2.4178,2.7543,6.5214
2.0928,2.7861,3.1607,7.1522
2.4517,3.2422,3.6552,8.2127
1.904,2.399,2.6018,6.0731
2.2864,2.8695,3.1447,7.2321
2.3545,3.0596,3.4077,7.5596
1.5666,2.0318,2.4604,5.8353
1.6568,2.2759,2.6997,5.8749
1.9687,2.6225,2.8795,6.7995
2.0475,2.5884,2.8507,6.5865
2.4659,3.117,3.4575,7.8698
2.3389,3.1527,3.572,7.6865
2.2716,2.8077,3.192,7.0094
1.8266,2.5102,3.0345,7.1796
2.2065,3.0162,3.4601,8.1786
1.6805,2.1641,2.4365,5.5054
2.0854,2.6879,3.0235,6.7867
2.1714,2.8959,3.2969,7.1046
1.9233,2.3151,2.4846,5.9332
1.9336,2.4921,2.7414,6.1881
2.1684,3.0169,3.7154,8.7179
2.0601,2.7126,3.1022,7.1305
2.4301,3.2054,3.6228,8.2532
2.1519,2.9513,3.2502,7.3237
1.8432,2.2097,2.4128,5.6791
2.0451,2.5857,2.8745,6.4555
2.4162,3.0382,3.4055,7.5576
1.5774,2.0886,2.5013,5.6215
1.8924,2.471,2.7194,6.5647
2.0317,2.7211,3.01,6.9333
1.9191,2.3662,2.6145,6.0737
2.275,3.0202,3.4146,7.4174
2.701,3.515,3.9823,8.6383
1.9155,2.3073,2.5075,5.8751
