f.1,f.2,f.3,f.4
1.5342,2.0095,2.3548,5.6492
1.9949,2.6304,2.996,7.1697
2.161,2.9352,3.3134,7.5501
2.0731,2.7391,3.1065,6.7665
1.9683,2.4286,2.659,6.1285
1.824,2.5886,3.1042,6.8063
1.8219,2.3404,2.5372,5.972
2.0408,2.5527,2.8407,6.4054
1.9253,2.7229,3.5774,8.0093
1.9167,2.6124,2.9364,6.6
1.7974,2.2317,2.5109,5.6327
2.0287,2.6624,2.9252,6.5837
2.1877,2.949,3.4016,7.7998
2.0393,2.6847,3.0698,6.6622
2.3989,3.1531,3.4627,7.8204
1.6966,2.3035,2.7909,6.3518
1.7327,2.1602,2.328,5.621
1.9101,2.5953,2.9135,6.3578
2.4038,3.1233,3.5462,7.6619
1.7145,2.1856,2.432,5.6933
2.2531,2.9876,3.3555,7.4446
1.9316,2.5101,2.7507,6.2322
1.6488,2.1935,2.5751,5.9541
2.4239,3.3691,3.8632,8.354
2.2739,2.8719,3.1664,7.2169
1.9126,2.4439,2.7734,6.0363
1.9117,2.6424,3.0462,7.1982
1.9518,2.6222,2.926,6.5758
1.7222,2.0958,2.3692,5.305
1.8123,2.5453,3.2264,7.3788
2.0928,2.7861,3.1607,7.1522
1.904,2.399,2.6018,6.0731
2.3545,3.0596,3.4077,7.5596
1.6568,2.2759,2.6997,5.8749
2.0475,2.5884,2.8507,6.5865
2.3389,3.1527,3.572,7.6865
1.8266,2.5102,3.0345,7.1796
1.6805,2.1641,2.4365,5.5054
2.1714,2.8959,3.2969,7.1046
1.9336,2.4921,2.7414,6.1881
2.0601,2.7126,3.1022,7.1305
2.1519,2.9513,3.2502,7.3237
2.0451,2.5857,2.8745,6.4555
1.5774,2.0886,2.5013,5.6215
2.0317,2.7211,3.01,6.9333
2.275,3.0202,3.4146,7.4174
1.9155,2.3073,2.5075,5.8751
2.0492,2.8112,3.2146,7.2286
2.1514,2.7925,3.1677,6.9659
1.7616,2.2626,2.5171,5.6141
1.5981,2.2878,3.1261,6.9295
1.9907,2.632,2.888,6.7897
2.0101,2.5084,2.7728,6.3625
2.1854,2.9616,3.376,7.1822
1.8559,2.5276,2.9112,6.7839
1.6146,2.0162,2.265,5.1336
2.4812,3.1732,3.449,7.9606
1.7335,2.4045,2.9927,6.724
1.9263,2.5134,2.875,6.4127
2.1508,2.8935,3.2137,7.1488
2.0525,2.5865,2.9176,6.4256
1.5413,2.0059,2.2399,5.2502
2.4651,3.306,3.7018,8.2545
2.3202,3.0542,3.487,7.4682
1.6508,2.1285,2.4403,5.9005
1.9219,2.6694,3.0451,6.6353
1.9591,2.5222,2.7334,6.3306
2.1916,2.7949,3.1136,6.9389
2.3083,3.2305,3.7726,8.3646
1.9443,2.5379,2.8038,6.3462
1.9197,2.3763,2.6716,5.9604
1.7937,2.4926,2.9217,6.785
1.981,2.6147,2.9171,6.6378
1.9214,2.4345,2.7794,6.0512
2.3575,3.062,3.3952,7.566
1.8537,2.5517,3.0448,6.7668
1.8799,2.3797,2.5594,6.1195
2.0566,2.7868,3.1155,6.8265
1.8959,2.6166,3.357,7.5873
1.9231,2.4808,2.7393,6.3991
2.4218,3.2067,3.5909,7.9609
1.9927,2.6376,2.8971,6.5092
1.5599,1.9798,2.2429,5.2334
1.9371,2.6333,3.0044,6.4979
2.3273,2.947,3.2465,7.3795
1.6898,2.288,2.7919,6.2557
2.1589,2.9296,3.235,7.4897
1.9575,2.5259,2.826,6.2876
1.9061,2.347,2.6762,5.8661
2.1256,2.96,3.3766,7.6347
2.2754,3.0064,3.3698,7.5019
1.8114,2.2258,2.408,5.6398
